기준년도,학교명,본분교명,설립유형,전임교원 1인당 연구비(교내),전임교원 1인당 연구비(교외)
2009,사이버한국외국어대학교,본교,사립,1875.0,3999.8
2009,삼육대학교,본교,사립,2488.1,21403.3
2009,상명대학교,본교,사립,1734.5,24570.6
2009,상지대학교,본교,사립,2753.9,22237.0
2009,서강대학교,본교,사립,6288.0,127480.3
2009,서경대학교,본교,사립,515.5,7630.2
2009,서남대학교,본교,사립,0.0,1810.8
2009,서울기독대학교,본교,사립,0.0,344.8
2009,서울디지털대학교,본교,사립,0.0,1268.2
2009,서울사이버대학교,본교,사립,483.9,1940.8
2009,서울신학대학교,본교,사립,0.0,4901.2
2009,서울여자대학교,본교,사립,4345.3,21751.3
2009,서울장신대학교,본교,사립,705.7,428.6
2009,서울한영대학교,본교,사립,0.0,243.9
2009,서원대학교,본교,사립,2999.8,4120.5
2009,선교청대학교,본교,사립,0.0,0.0
2009,선문대학교,본교,사립,2463.2,29598.2
2009,성결대학교,본교,사립,1649.5,2944.6
2009,성공회대학교,본교,사립,0.0,641.0
2009,성균관대학교,본교,사립,11001.8,128395.8
2009,성신여자대학교,본교,사립,2574.2,10114.8
2009,세명대학교,본교,사립,405.4,8409.7
2009,세종대학교,본교,사립,3238.8,75080.2
2009,세종사이버대학교,본교,사립,0.0,304.3
2009,수원가톨릭대학교,본교,사립,2292.4,0.0
2009,수원대학교,본교,사립,3393.1,35400.2
2009,숙명여자대학교,본교,사립,8895.0,32005.6
2009,순복음총회신학교,본교,사립,0.0,0.0
2009,순천향대학교,본교,사립,3265.8,18669.4
2009,숭실대학교,본교,사립,5627.7,44868.7
2009,숭실사이버대학교,본교,사립,0.0,1957.2
2009,신경대학교,본교,사립,0.0,0.0
2009,신라대학교,본교,사립,1877.5,7644.5
2009,아세아연합신학대학교,본교,사립,0.0,3913.4
2009,아주대학교,본교,사립,8756.3,106511.6
2009,안양대학교,본교,사립,705.9,14202.4
2009,연세대학교,본교,사립,12084.3,147786.2
2009,영남대학교,본교,사립,8819.5,58587.9
2009,영남신학대학교,본교,사립,1961.5,1208.5
2009,영동대학교,본교,사립,95.2,9872.3
2009,영산대학교,본교,사립,51.1,4960.7
2009,영산선학대학교,본교,사립,0.0,0.0
2009,예수대학교,본교,사립,2544.2,45668.2
2009,예원예술대학교,본교,사립,0.0,0.0
2009,용인대학교,본교,사립,464.4,17804.0
2009,우석대학교,본교,사립,4075.0,24335.7
2009,우송대학교,본교,사립,880.1,12678.6
2009,울산대학교,본교,사립,2984.1,38585.3
2009,원광대학교,본교,사립,4655.4,29965.0
2009,원광디지털대학교,본교,사립,666.7,0.0
2009,위덕대학교,본교,사립,3348.0,14131.0
2009,을지대학교,본교,사립,586.8,9300.4
2009,이화여자대학교,본교,사립,10978.4,83633.2
2009,인제대학교,본교,사립,4075.3,52323.1
2009,인천가톨릭대학교,본교,사립,0.0,1827.6
2009,인하대학교,본교,사립,8638.2,93212.0
2009,장로회신학대학교,본교,사립,2065.2,1184.2
2009,전주대학교,본교,사립,4937.5,42459.9
2009,조선대학교,본교,사립,8701.5,33497.2
2009,중부대학교,본교,사립,187.1,9220.6
2009,중앙대학교,본교,사립,10471.5,59651.8
2009,중앙승가대학교,본교,사립,0.0,0.0
2009,중원대학교,본교,사립,502.8,9285.7
2009,차의과학대학교,본교,사립,4634.5,21517.7
2009,청운대학교,본교,사립,2722.2,20685.4
2009,청주대학교,본교,사립,5165.2,18457.6
2009,초당대학교,본교,사립,0.1,11182.3
2009,총신대학교,본교,사립,1559.1,1487.8
2009,추계예술대학교,본교,사립,734.7,2216.3
2009,침례신학대학교,본교,사립,2346.9,1282.3
2009,칼빈대학교,본교,사립,0.0,0.0
2009,탐라대학교,본교,사립,0.0,4134.2
2009,평택대학교,본교,사립,243.9,4054.9
2009,포항공과대학교,본교,사립,20758.3,525915.3
2009,한국국제대학교,본교,사립,0.0,19155.4
2009,한국기술교육대학교,본교,사립,7235.9,56682.8
2009,한국산업기술대학교,본교,사립,3849.6,169019.0
2009,한국성서대학교,본교,사립,519.7,0.0
2009,한국외국어대학교,본교,사립,4379.0,18374.5
2009,한국항공대학교,본교,사립,6343.0,113936.0
2009,한남대학교,본교,사립,6615.0,39630.9
2009,한동대학교,본교,사립,1117.6,23162.8
2009,한라대학교,본교,사립,336.1,14310.9
2009,한려대학교(산업대),본교,사립,0.0,1863.6
2009,한림대학교,본교,사립,1597.4,21875.3
2009,한민학교,본교,사립,0.0,0.0
2009,한북대학교,본교,사립,0.0,0.0
2009,한서대학교,본교,사립,1998.8,23270.4
2009,한성대학교,본교,사립,5350.9,12595.6
2009,한세대학교,본교,사립,157.3,3445.7
2009,한신대학교,본교,사립,4047.0,8348.8
2009,한양대학교,본교,사립,6211.3,104651.6
2009,한양사이버대학교,본교,사립,765.5,4026.6
2009,한일장신대학교,본교,사립,551.1,1098.6
